cycle,time_ps,state,lambda_meso,lambda_threo,selected_probability,energy_selected_kj_mol,meso_signed_volume_nm3,threo_signed_volume_nm3,meso_improper_deg,threo_improper_deg,bias_increment
124,6.24,1,0.1,0.9,0.2809465334274066,-156365.4672016975,-0.002472814739594442,0.0026200478161190924,33.595404464970855,28.528307705005247,5.0
125,6.25,1,0.1,0.9,0.9441860071964897,-156368.2057757795,-0.002868492550556361,0.002679728427414414,36.839508592254845,30.374426947125663,5.0
126,6.26,2,0.2,0.8,0.9958516046808444,-156283.09926425674,-0.002635744888097111,0.003010202175636783,33.09860024477036,36.574892159619964,5.0
127,6.27,2,0.2,0.8,0.8541838597518604,-156233.92011875092,-0.002295406561996154,0.0027175277743027885,27.731281405528158,32.578353428443684,5.0
128,6.28,3,0.30000000000000004,0.7,0.6673097178654621,-156331.13380755644,-0.0021176846190122806,0.002451349278236162,27.819572951187936,29.491704591122282,5.0
129,6.29,4,0.4,0.6,0.8667266224541629,-156311.3757671267,-0.0022653790147983657,0.002585871277750562,31.783367325599993,29.659276535277645,5.0
130,6.3,5,0.5,0.5,0.8717962666300784,-156290.41330448454,-0.002548207270381104,0.00281625397950332,37.5340104188081,31.309420467802518,5.0
131,6.31,6,0.6000000000000001,0.3999999999999999,0.90368468639125,-156315.17350599432,-0.0026555109205423605,0.002807439856653893,37.12133977599828,30.16920978312198,5.0
132,6.32,7,0.7000000000000001,0.29999999999999993,0.5607860278096853,-156452.3994179721,-0.002434542704280437,0.002300621974104279,31.60476169764541,25.42816185809767,5.0
133,6.33,5,0.5,0.5,0.22881965145329036,-156235.02091988767,-0.0021618825747493505,0.002487966322926483,26.586451501811514,27.583617451484713,5.0
134,6.34,4,0.4,0.6,0.9697925076718626,-156411.51100867914,-0.0022609797899233804,0.0027735324102252995,31.241913879455687,33.12627389159445,5.0
135,6.35,3,0.30000000000000004,0.7,0.7333620706870382,-156308.61380826661,-0.002608394695331093,0.002855294011588367,36.47009580313721,35.321804543254906,5.0
136,6.36,4,0.4,0.6,0.8977194776367776,-156224.80984937362,-0.0027137893831187584,0.002667096472843978,38.52920004457847,29.089488703905,5.0
137,6.37,6,0.6000000000000001,0.3999999999999999,0.2824620226770329,-156437.7320455592,-0.002336101408073521,0.0027010709802556864,32.004822245699316,26.854145539810013,5.0
138,6.38,5,0.5,0.5,0.9274469653485364,-156387.63103211042,-0.0021906490894368726,0.0026526015701228344,29.264742604357618,26.79246421841655,5.0
139,6.39,6,0.6000000000000001,0.3999999999999999,0.8414742705473717,-156354.41950376067,-0.002316238415052575,0.002670417128091182,30.504647522639758,29.546084419586197,5.0
